"genesysId","instCode","name","aliasType","lang","version"
"2509244","","UCV 2076","OTHERNUMB","","0"
"2509244","","Querepa Amarga","ACCENAME","","0"
"2509244","","025","COLLNUMB","","0"
"2509248","","UCV 2166","OTHERNUMB","","0"
"2509248","","024","COLLNUMB","","0"
"2509252","","UCV 2078","OTHERNUMB","","0"
"2509252","","Cacho D Toro Amarg","ACCENAME","","0"
"2509252","","023","COLLNUMB","","0"
"2509255","","217","OTHERNUMB","","0"
"2509255","","Cadena","ACCENAME","","0"
"2509255","","217","COLLNUMB","","0"
"2509258","","UCV 2203","OTHERNUMB","","0"
"2509258","","022","COLLNUMB","","0"
"2509261","","214","OTHERNUMB","","0"
"2509261","","Panesa","ACCENAME","","0"
"2509261","","214","COLLNUMB","","0"
"2509262","","216","OTHERNUMB","","0"
"2509262","","Cubana","ACCENAME","","0"
"2509262","","216","COLLNUMB","","0"
"2509264","","209","OTHERNUMB","","0"
"2509264","","Pierna Negra","ACCENAME","","0"
"2509264","","209","COLLNUMB","","0"
"2509265","","208","OTHERNUMB","","0"
"2509265","","208","COLLNUMB","","0"
"2509266","","213","OTHERNUMB","","0"
"2509266","","Siete Brinco","ACCENAME","","0"
"2509266","","213","COLLNUMB","","0"
"2509267","","211","OTHERNUMB","","0"
"2509267","","Blancota","ACCENAME","","0"
"2509267","","211","COLLNUMB","","0"
"2509268","","210","OTHERNUMB","","0"
"2509268","","Cubana","ACCENAME","","0"
"2509268","","210","COLLNUMB","","0"
"2509269","","UCV 2208","OTHERNUMB","","0"
"2509269","","021","COLLNUMB","","0"
"2509270","","204","OTHERNUMB","","0"
"2509270","","204","COLLNUMB","","0"
"2509271","","205","OTHERNUMB","","0"
"2509271","","205","COLLNUMB","","0"
"2509272","","206","OTHERNUMB","","0"
"2509272","","Cadena","ACCENAME","","0"
"2509272","","206","COLLNUMB","","0"
"2509273","","202","OTHERNUMB","","0"
"2509273","","Morotura","ACCENAME","","0"
"2509273","","202","COLLNUMB","","0"
"2509274","","202","OTHERNUMB","","0"
"2509274","","Morotura","ACCENAME","","0"
"2509274","","202","COLLNUMB","","0"
"2509275","","197","OTHERNUMB","","0"
"2509275","","197","COLLNUMB","","0"
"2509276","","198","OTHERNUMB","","0"
"2509276","","Ceibita","ACCENAME","","0"
"2509276","","198","COLLNUMB","","0"
"2509277","","200","OTHERNUMB","","0"
"2509277","","200","COLLNUMB","","0"
"2509278","","UCV 2103","OTHERNUMB","","0"
"2509278","","Gobiernera","ACCENAME","","0"
"2509278","","020","COLLNUMB","","0"
"2509279","","196","OTHERNUMB","","0"
"2509279","","Pata De Paloma","ACCENAME","","0"
"2509279","","196","COLLNUMB","","0"
"2509280","","195","OTHERNUMB","","0"
"2509280","","195","COLLNUMB","","0"
"2509281","","192","OTHERNUMB","","0"
"2509281","","Amarilla","ACCENAME","","0"
"2509281","","192","COLLNUMB","","0"
"2509282","","194","OTHERNUMB","","0"
"2509282","","194","COLLNUMB","","0"
"2509283","","UCV 2187","OTHERNUMB","","0"
"2509283","","019","COLLNUMB","","0"
"2509284","","190","OTHERNUMB","","0"
"2509284","","Sardina","ACCENAME","","0"
"2509284","","190","COLLNUMB","","0"
"2509285","","188","OTHERNUMB","","0"
"2509285","","Sardina","ACCENAME","","0"
"2509285","","188","COLLNUMB","","0"
"2509286","","185","OTHERNUMB","","0"
"2509286","","Morada","ACCENAME","","0"
"2509286","","185","COLLNUMB","","0"
"2509287","","187","OTHERNUMB","","0"
"2509287","","187","COLLNUMB","","0"
"2509288","","186","OTHERNUMB","","0"
"2509288","","186","COLLNUMB","","0"
"2509289","","184","OTHERNUMB","","0"
"2509289","","Bizcochuela","ACCENAME","","0"
"2509289","","184","COLLNUMB","","0"
"2509290","","180","OTHERNUMB","","0"
"2509290","","180","COLLNUMB","","0"
"2509291","","182","OTHERNUMB","","0"
"2509291","","182","COLLNUMB","","0"
"2509292","","182","OTHERNUMB","","0"
"2509292","","182","COLLNUMB","","0"
"2509293","","183","OTHERNUMB","","0"
"2509293","","Sardina","ACCENAME","","0"
"2509293","","183","COLLNUMB","","0"
"2509294","","178","OTHERNUMB","","0"
"2509294","","178","COLLNUMB","","0"
"2509295","","179","OTHERNUMB","","0"
"2509295","","179","COLLNUMB","","0"
